site_no, average,dec_lat_va,dec_long_va,NSE_state
1327750,-3.956375539,43.26944444,-73.5958333,4
1374890,-0.540184362,41.2602222,-73.6018611,4
1374505,-114.8977071,41.39444444,-73.6069444,4
1374531,-4103.4449,41.37377778,-73.63875,4
4275500,0.499374728,44.45138889,-73.6425,4
1374821,-0.135146386,41.32719444,-73.6558333,4
1212500,0.311702628,41.0272972,-73.66175,4
1374901,-631.5369218,41.2661111,-73.6655556,4
1335754,-0.330503134,42.82916667,-73.6661111,4
1374701,-0.612552725,41.358,-73.6679722,4
4275000,0.47329317,44.43738889,-73.6809722,4
1358000,-0.780768693,42.7522222,-73.68888889,4
1374598,-1.291929125,41.4758611,-73.6894722,4
137462010,-187.9257671,41.41180556,-73.69375,4
1311500,-96.60653336,40.6636111,-73.7044444,4
1357500,-0.654939019,42.78538889,-73.70777778,4
1374581,-2.142670053,41.44994444,-73.7361111,4
1361000,0.610362478,42.33105556,-73.7444444,3
1374941,-58.3992317,41.2876111,-73.75363889,4
1374559,0.163562328,41.47055556,-73.76,4
1374930,-0.281239072,41.33813889,-73.7686944,4
1318500,-0.036567535,43.31888889,-73.8441667,4
1375000,-13702.56856,41.22502778,-73.85888889,4
1325000,-4.408129684,43.31138889,-73.8672222,4
1372500,0.238595204,41.65305556,-73.8725,4
1302020,-0.360889441,40.86230556,-73.87438889,4
1330000,0.298198598,43.03055556,-73.9272222,4
1354500,-0.526806964,42.83052778,-73.93075,4
1376800,-1.04314641,41.09555556,-73.96388889,4
1364500,-5.466342139,42.03777778,-73.9719444,4
1315500,0.27818378,43.7008333,-73.9833333,4
1377000,-1.623417924,40.99916667,-73.9891667,4
1377500,0.2778412,40.99277778,-74.0211111,4
1378500,-3369.325478,40.9483333,-74.0266667,4
1377370,0.602721057,41.03666667,-74.0391667,3
1407760,-0.386752448,40.2033333,-74.0658333,4
1407705,-0.108412626,40.1986111,-74.07,4
1391500,0.122233586,40.89027778,-74.0805556,4
1367500,-1.415324657,41.84305556,-74.0861111,4
1390500,0.513777596,40.985,-74.0905556,3
1390450,0.53763852,41.0586111,-74.0955556,3
1391102,0.420826354,40.95527778,-74.0997222,4
1391000,0.60245623,40.99777778,-74.1119444,3
1387450,0.536379516,41.1411111,-74.1161111,3
1408029,-0.633396765,40.14666667,-74.1222222,4
1389890,-0.194460048,40.8858333,-74.1283333,4
1312000,0.542550504,43.96666667,-74.1316667,3
1363556,-91.69799245,41.8793333,-74.1453611,4
1408120,-0.213296499,40.09166667,-74.1525,4
1408000,0.255937225,40.16138889,-74.1547222,4
1387420,-0.364100227,41.1183333,-74.16027778,4
1387500,0.196543798,41.09805556,-74.16277778,4
1371500,0.141271871,41.6861111,-74.16527778,4
1387400,0.309210504,41.14027778,-74.1686111,4
1392500,-0.36787122,40.78805556,-74.1716667,4
1408900,-4.535333603,39.87916667,-74.1905556,4
1407290,0.04587098,40.3197222,-74.2141667,4
1393450,-1.198485909,40.675,-74.2219444,4
1389550,-0.25037182,40.87194444,-74.2222222,4
1408500,-1.251800015,39.98638889,-74.2233333,4
1389500,-25.42583515,40.8847222,-74.2261111,4
1351500,-0.048373279,42.8,-74.26277778,4
1384500,-1.56505367,41.1272222,-74.2658333,4
1389010,-0.49063639,40.89444444,-74.2661111,4
1362497,0.337803676,42.01944444,-74.26638889,4
1315000,-289.0868245,43.75638889,-74.2672222,4
1321000,0.285133103,43.35277778,-74.27027778,4
1362500,-0.004372411,42.01416667,-74.2705556,4
1349711,-68.40772739,42.185,-74.2769444,4
1388000,-1.492879964,40.99194444,-74.28,4
1388500,-3.324826705,40.9697222,-74.2819444,4
1395000,-0.541420345,40.61888889,-74.2833333,4
1363382,0.536271409,41.96555556,-74.2930556,3
1387000,-8728.613931,41.04416667,-74.2930556,4
1382800,-0.607420043,40.9986111,-74.2980556,4
1349700,0.49563957,42.24916667,-74.30277778,4
1362370,0.552044798,42.10202778,-74.31088889,3
1386000,0.543063385,41.0736111,-74.3116667,3
1394500,-0.344201482,40.6875,-74.3116667,4
1409280,-4.533989136,39.66666667,-74.32027778,4
1381900,0.132147785,40.8625,-74.3216667,4
1383500,0.067682763,41.16027778,-74.3336111,4
136230002,-220.0649884,42.0797222,-74.3345833,4
1349705,0.457553014,42.23694444,-74.34027778,4
1381800,0.052985015,40.845,-74.3472222,4
1406050,-0.100190475,40.415,-74.34888889,4
1379530,-1.930279153,40.74444444,-74.3536111,4
1362200,0.72634925,42.11694444,-74.38027778,2
1379500,0.629567275,40.7261111,-74.3897222,3
1349950,0.155880705,42.3083333,-74.39,4
1405400,0.06774671,40.38944444,-74.3905556,4
1381000,-227.4661932,40.89694444,-74.3947222,4
1382500,-83.56790768,41.0183333,-74.4011111,4
1403400,0.327619398,40.6661111,-74.40388889,4
1382385,-141.4506236,41.0247222,-74.4083333,4
1350355,-0.874539633,42.53694444,-74.4105556,4
1405030,-3.642334834,40.48305556,-74.41277778,4
1350080,0.342958929,42.37694444,-74.4130556,4
1380450,0.371074029,40.9075,-74.4191667,4
1350000,0.464976217,42.31944444,-74.4366667,4
1410150,-8.690342352,39.62305556,-74.44138889,4
1350120,-2.535570441,42.4061111,-74.4472222,4
1350101,-0.902290997,42.3972222,-74.4505556,4
1403540,0.048646039,40.63638889,-74.45138889,4
1350035,0.414746701,42.33805556,-74.4516667,4
13621955,-235.296772,42.10888889,-74.4519444,4
1381500,0.40566012,40.8072222,-74.4569444,4
